#! FIELDS bla file.free der_bla
#! SET min_bla -0.897698
#! SET max_bla 8.9571
#! SET nbins_bla  81
#! SET periodic_bla false
   -0.897698000   -0.086624384   -0.947765996
   -0.774513025   -0.326165290   -3.263603450
   -0.651328050   -1.059520572   -9.578304420
   -0.528143075   -3.044243676  -24.576579107
   -0.404958100   -7.758221373  -55.157581352
   -0.281773125  -17.562617512 -108.063688477
   -0.158588150  -35.355609637 -184.072415064
   -0.035403175  -63.386273558 -270.852128874
    0.087781800 -101.405940505 -340.610169025
    0.210966775 -145.184280913 -359.047522542
    0.334151750 -186.837252288 -304.708350592
    0.457336725 -217.597267942 -186.620510193
    0.580521700 -231.834863393  -44.895261730
    0.703706675 -229.804907158   69.717514962
    0.826891650 -217.197895870  123.870896332
    0.950076625 -201.835258485  117.095953672
    1.073261600 -189.795803346   75.458318140
    1.196446575 -183.339981455   31.167159561
    1.319631550 -181.388263342    4.095534918
    1.442816525 -181.541835685   -3.953270546
    1.566001500 -181.984998164   -2.546737263
    1.689186475 -182.208836815   -1.660291662
    1.812371450 -182.542323617   -5.200710951
    1.935556425 -183.437105248   -9.756433472
    2.058741400 -184.787517724  -11.912763922
    2.181926375 -186.230221596  -11.357064091
    2.305111350 -187.581323391  -11.029906994
    2.428296325 -189.063629574  -13.651110622
    2.551481300 -191.003106258  -17.867086553
    2.674666275 -193.302460893  -18.615690249
    2.797851250 -195.246032987  -11.839671566
    2.921036225 -195.940434067    0.875352204
    3.044221200 -195.052668852   12.559282634
    3.167406175 -193.160307834   16.416839067
    3.290591150 -191.371980733   11.181094426
    3.413776125 -190.586900488    1.042976068
    3.536961100 -191.075090274   -8.836778458
    3.660146075 -192.626810918  -16.127819613
    3.783331050 -194.921300811  -20.944045941
    3.906516025 -197.645453934  -22.797220565
    4.029701000 -200.292345666  -19.110552468
    4.152885975 -201.985824512   -7.004547946
    4.276070950 -201.624991090   13.778284955
    4.399255925 -198.341331937   39.564706299
    4.522440900 -191.924672415   63.540665350
    4.645625875 -183.029171013   78.857189840
    4.768810850 -172.982597659   82.060920645
    4.891995825 -163.233346922   74.588081268
    5.015180800 -154.794708530   61.692642914
    5.138365775 -147.987895223   49.005597786
    5.261550750 -142.575857359   39.162252295
    5.384735725 -138.184460315   32.372107095
    5.507920700 -134.443555202   28.754264577
    5.631105675 -130.833635498   30.826149998
    5.754290650 -126.417212278   42.467881528
    5.877475625 -119.874957913   65.205921892
    6.000660600 -110.000279461   95.518675240
    6.123845575  -96.332972680  125.245135292
    6.247030550  -79.532695472  144.992319142
    6.370215525  -61.268031019  148.407269263
    6.493400500  -43.659470572  134.746574605
    6.616585475  -28.562674698  108.680785528
    6.739770450  -17.047163799   77.920939093
    6.862955425   -9.234127447   49.664165309
    6.986140400   -4.517591122   28.090321344
    7.109325375   -1.985798391   14.054384382
    7.232510350   -0.778008560    6.174842155
    7.355695325   -0.270497786    2.380129293
    7.478880300   -0.082281188    0.794862215
    7.602065275   -0.018025485    0.187015201
    7.725250250   -0.001297323    0.014009423
    7.848435225   -0.000000000   -0.000000000
    7.971620200   -0.000000000   -0.000000000
    8.094805175   -0.000000000   -0.000000000
    8.217990150   -0.000000000   -0.000000000
    8.341175125   -0.000000000   -0.000000000
    8.464360100   -0.000000000   -0.000000000
    8.587545075   -0.000000000   -0.000000000
    8.710730050   -0.000000000   -0.000000000
    8.833915025   -0.000000000   -0.000000000
    8.957100000   -0.000000000   -0.000000000
